,Open,High,Low,Close,Volume,RSI_14,ATR_14,MACD_Line,MACD_Signal,MACD_Histogram,BB_Position_20,FearGreedIndex,HashRate,ActiveAddresses,TxVolumeUSD,RSI_Signal_Neutral,RSI_Signal_Overbought (Sell),RSI_Signal_Oversold (Buy),BB_Signal_Above Upper Band (Sell),BB_Signal_Below Lower Band (Buy),BB_Signal_Neutral,Dist_EMA7_pct,Dist_EMA14_pct,Dist_EMA21_pct,Dist_EMA50_pct,Dist_EMA200_pct,EMA_7_21_ratio,EMA_21_50_ratio,EMA_50_200_ratio,EMA_21_slope,EMA_200_slope,ATR_pct,Return_5d,Return_10d,Return_20d,Dist_from_20d_high,Dist_from_20d_low,ADX_14
2022-07-19,1578.3839111328125,1607.0330810546875,1501.7974853515625,1542.9752197265625,27753529276,66.17904298509062,100.19200622765047,36.745397321394876,-24.86901143645709,61.61440875785196,1.0641221905990879,30.0,199988701.51202142,682638.0,4686873167.751223,1,0,0,1,0,0,0.10481182748203884,0.16110559515758746,0.17714528104326496,0.08417170805176273,-0.485969993186785,0.0879054976471847,-0.1015185639152073,-0.3836831859678619,,,0.06493429378950488,,,,,,
2022-07-20,1542.954345703125,1612.645751953125,1500.80322265625,1520.20068359375,22942708340,64.39789006606505,101.02418644688079,50.72959417637662,-9.749290313890349,60.47888449026697,0.9524809155726913,31.0,182598379.64141086,642244.0,3376687092.8781495,1,0,0,0,0,1,0.06855057916321819,0.12873283973143487,0.1498344297640115,0.06768863612134027,-0.5031746781799816,0.0956094359105022,-0.08810982770919273,-0.37977177409116114,,,0.06645450665635796,,,,,,100.0
2022-07-21,1520.37451171875,1595.761962890625,1472.1854248046875,1576.74951171875,20009556587,66.78808537600159,102.63506870681341,65.61877635846918,5.3243230205815575,60.29445333788762,0.9633626411619857,34.0,199187652.45519632,686329.0,6542475947.197538,1,0,0,0,0,1,0.07646718656080372,0.13864943897734008,0.16393174609879801,0.0971595237396503,-0.4447942570791744,0.10461413781694673,-0.07395794064940964,-0.3751079284565053,,,0.0650928178153898,,,,,,97.79914992922214
2022-07-22,1576.745361328125,1641.209228515625,1523.6417236328125,1537.4051513671875,18926100582,63.589298888885914,103.70167129081335,73.39771625817798,18.939001668100843,54.458714590077136,0.8626136266403677,33.0,181711862.6387281,650694.0,2968088068.9026737,1,0,0,0,0,1,0.03962451211142635,0.10105876433226849,0.12957780314568382,0.07115046538073323,-0.47697485722058436,0.10334443602121635,-0.0629029090151828,-0.371113509428858,,,0.06745240263998938,,,,,,93.01722111152378
2022-07-23,1536.4573974609375,1591.632568359375,1495.6781005859375,1549.2974853515625,14998811383,64.1482399713119,103.1482996110008,79.6045622950719,31.072113793495056,48.532448501576845,0.8399373534546435,31.0,211997173.07851613,572761.0,1605649425.5929158,1,0,0,0,0,1,0.03524723159043818,0.09356446198932049,0.12387192966159631,0.07521045581220205,-0.4610044576682483,0.10115495790121987,-0.05261897061361298,-0.36701798592472823,,,0.06657746532622472,,,,,,86.80057499898626
2022-07-24,1549.2225341796875,1654.4287109375,1548.671142578125,1599.4766845703125,17217849557,66.48602334256563,103.33467595017038,87.56320044062909,42.37033112292187,45.19286931770722,0.8617130015372799,30.0,216126988.13848722,531268.0,986955946.3014323,1,0,0,0,0,1,0.049135280072355604,0.10573454130898988,0.13759822519936687,0.10013601021367712,-0.411038405968503,0.10257741543662968,-0.04163097469272592,-0.36226825153729403,0.08643923228812112,,0.06460530306381457,0.03661851734324206,,,,,83.23940622266001
2022-07-25,1599.1572265625,1605.3369140625,1445.3834228515625,1445.3834228515625,20585056021,54.691995275371546,107.37887704022518,80.50838950085858,49.997942798509214,30.51044670234937,0.6432551962366426,30.0,195477912.83863172,629329.0,2240841200.856595,1,0,0,0,0,1,-0.039177767120208803,0.009010145961958035,0.04150637646011327,0.004036185866497511,-0.555883355824574,0.08417807025396917,-0.037622040140298796,-0.3598724413337079,0.07193354269473207,,0.07429092885843394,-0.04921538422500882,,,,,78.74116307187921
2022-07-26,1445.151123046875,1445.151123046875,1362.95166015625,1441.8067626953125,18238563509,54.45055328182939,105.59694030130285,73.77832382902034,54.75401900461144,19.024304824408894,0.6229816087818713,26.0,220256803.19845834,655695.0,2529268854.929778,1,0,0,0,0,1,-0.03131672540340686,0.005678242239189386,0.035571510174542256,0.0015041261682785438,-0.5541734212976845,0.069355308645076,-0.034118702840033155,-0.35753895919928314,0.05480614448815713,,0.07323931544328452,-0.08558287034212675,,,,,76.06888447423242
2022-07-27,1443.726806640625,1636.7994384765625,1423.618896484375,1636.232666015625,23007524016,63.80466877953325,113.28148327922318,83.17446040422578,60.43810728453431,22.736353119691472,0.8415411725122127,28.0,227139828.29841012,644191.0,2043786368.01846,1,0,0,0,0,1,0.06842237657360595,0.10731834832784592,0.13651823059635598,0.11543894449398413,-0.36582163629454517,0.0788619475658181,-0.023830221748020963,-0.35235975767244576,0.055795829245617545,,0.06923311435596373,0.06428202387675874,,,,,71.70232202638677
2022-07-28,1636.23193359375,1774.576416015625,1604.8909912109375,1725.4681396484375,27231399966,67.14011367193903,117.31033624532779,96.70674809164302,67.69183544595606,29.014912645686962,0.8991088776541057,32.0,194101307.8186414,697022.0,3762271329.7370615,1,0,0,0,0,1,0.08745035476718277,0.13302022454757417,0.16470421449846925,0.15486450040143251,-0.29224871073319153,0.09248683050028972,-0.011642765097088614,-0.345996252440401,0.061805141100004235,,0.0679875412067763,0.11371002403511854,,,,,69.07919028842761
