Date,HashRate,ActiveAddresses,TxVolumeUSD
2016-01-01,,263121.0,
2016-01-03,769424.042921966,,67646928.6220128
2016-01-05,,359763.0,
2016-01-07,743604.444166195,,162207621.394275
2016-01-09,,390146.0,
2016-01-11,877866.357696202,,126604160.405308
2016-01-13,,339655.0,
2016-01-15,693089.355237507,,152176114.997456
2016-01-17,,462215.0,
2016-01-19,839596.048214541,,95862424.5752563
2016-01-21,,415801.0,
2016-01-23,1008642.23241881,,94915865.6278715
2016-01-25,,420289.0,
2016-01-27,918901.018160999,,176503627.972843
2016-01-29,,410455.0,
2016-01-31,1068073.26136895,,103665933.111343
2016-02-02,,488072.0,
2016-02-04,1103874.59973886,,145850811.16086
2016-02-06,,419675.0,
2016-02-08,1153414.86436954,,106671049.115269
2016-02-10,,417816.0,
2016-02-12,1139086.72940843,,124601290.486344
2016-02-14,,421715.0,
2016-02-16,1067446.05460287,,172725407.571374
2016-02-18,,415599.0,
2016-02-20,1284099.85113956,,164829105.586379
2016-02-22,,465054.0,
2016-02-24,999647.352469403,,166459833.649415
2016-02-26,,391078.0,
2016-02-28,1210954.92291009,,194346790.470141
2016-03-01,,483492.0,
2016-03-03,1080919.49494659,,227124993.38604
2016-03-05,,411654.0,
2016-03-07,1220696.14747152,,145282392.78699
2016-03-09,,337006.0,
2016-03-11,1283699.81959909,,142675662.970307
2016-03-13,,351625.0,
2016-03-15,1197069.77042369,,131369366.52006
2016-03-17,,397923.0,
2016-03-19,1110630.46003795,,86792272.3163921
2016-03-21,,355209.0,
2016-03-23,1242260.73678319,,126621935.841238
2016-03-25,,332910.0,
2016-03-27,1258714.52137634,,125905670.204794
2016-03-29,,384087.0,
2016-03-31,1028361.53707217,,140898124.328616
2016-04-02,,349858.0,
2016-04-04,1360254.32899737,,135840299.31944
2016-04-06,,400648.0,
2016-04-08,1169486.9535892,,138824288.075815
2016-04-10,,369611.0,
2016-04-12,1260723.52443658,,156860496.804597
2016-04-14,,386126.0,
2016-04-16,1270146.99973955,,86724178.155167
2016-04-18,,391408.0,
2016-04-20,1465554.23046307,,137347264.702688
2016-04-22,,360541.0,
2016-04-24,1172443.38437046,,103550332.548332
2016-04-26,,438403.0,
2016-04-28,1207843.18309188,,164047131.988227
2016-04-30,,370399.0,
