,Open,High,Low,Close,Volume,RSI_14,ATR_14,MACD_Line,MACD_Signal,MACD_Histogram,BB_Position_20,FearGreedIndex,HashRate,ActiveAddresses,TxVolumeUSD,RSI_Signal_Neutral,RSI_Signal_Overbought (Sell),RSI_Signal_Oversold (Buy),BB_Signal_Above Upper Band (Sell),BB_Signal_Below Lower Band (Buy),BB_Signal_Neutral,Dist_EMA7_pct,Dist_EMA14_pct,Dist_EMA21_pct,Dist_EMA50_pct,Dist_EMA200_pct,EMA_7_21_ratio,EMA_21_50_ratio,EMA_50_200_ratio,EMA_21_slope,EMA_200_slope,ATR_pct,Return_5d,Return_10d,Return_20d,Dist_from_20d_high,Dist_from_20d_low,ADX_14
2022-07-19,0.36602500081062317,0.37598899006843567,0.35291600227355957,0.37322500348091125,1604201237,61.51330585899028,0.019338262549338844,0.0017123547855744659,-0.004878772457088314,0.00659112724266278,1.093188644068399,30.0,199988701.51202142,682638.0,4686873167.751223,1,0,0,1,0,0,0.058883035465024575,0.08102908372620303,0.08529671310892975,0.014555627049486408,-0.5741481190488853,0.02887677132295119,-0.07178597595279568,-0.3739824346733469,,,0.051813952358440815,,,,,,
2022-07-20,0.37325701117515564,0.38106000423431396,0.3587360084056854,0.3604840040206909,1534818247,56.04489260538176,0.01955152921214525,0.0028684620297169117,-0.003329325559727269,0.006197787589444181,0.8580174115470653,31.0,182598379.64141086,642244.0,3376687092.8781495,1,0,0,0,0,1,0.01921504467570621,0.04207566220313248,0.04815209645871323,-0.019479001961750696,-0.6235185230109788,0.030400919805936066,-0.06633888318476744,-0.3720558235017706,,,0.05423688428356183,,,,,,100.0
2022-07-21,0.3606620132923126,0.3679560124874115,0.34972599148750305,0.36703601479530334,1202692151,58.10735405613244,0.01945713576841405,0.004264222558803654,-0.0018106159360210847,0.006074838494824739,0.8993618318627026,34.0,199187652.45519632,686329.0,6542475947.197538,1,0,0,0,0,1,0.027542379644129627,0.05128560868954958,0.059221513926846985,-0.0012299393813465728,-0.5886210790828758,0.033673319226237064,-0.060377193020762165,-0.36974905308485206,,,0.05301151653813954,,,,,,95.09662085208137
2022-07-22,0.3670330047607422,0.3708379864692688,0.3554860055446625,0.3586040139198303,1150022760,54.55933237375352,0.019163910422427786,0.0046365337575228205,-0.0005211859973123038,0.005157719754835124,0.757805587274711,33.0,181711862.6387281,650694.0,2968088068.9026737,1,0,0,0,0,1,0.00350744342364462,0.025114357148268464,0.03372782707374167,-0.023800801648987766,-0.6197463608795437,0.03127522917127745,-0.05619123234722101,-0.3679252342366428,,,0.053440312095090155,,,,,,88.81248868950627
2022-07-23,0.3585219979286194,0.362619012594223,0.350847989320755,0.35954099893569946,863843426,54.888960819671674,0.018635847054644945,0.0049501378175285105,0.000573078765655859,0.004377059051872651,0.7450515969078245,31.0,211997173.07851613,572761.0,1605649425.5929158,1,0,0,0,0,1,0.0045782712806364066,0.023967637670240457,0.032950899325638786,-0.020303982491102133,-0.6094005775593084,0.02933938724023122,-0.05219511315315806,-0.36603478542401435,,,0.0518323281901372,,,,,,84.58460696231884
2022-07-24,0.35953301191329956,0.36656200885772705,0.35708698630332947,0.3592599928379059,912894827,54.76066383029436,0.01798150244748442,0.005117010736312655,0.0014818651597872184,0.0036351455765254365,0.7185238349301344,30.0,216126988.13848722,531268.0,986955946.3014323,1,0,0,0,0,1,0.002849753992356511,0.02011031044560026,0.029267720496566882,-0.020274513046505075,-0.6045832059007541,0.027214472066102724,-0.048557748830891145,-0.364149824518598,0.021544659735316607,,0.05005150254956854,-0.03741713581019401,,,,,78.97781317954703
2022-07-25,0.3592270016670227,0.3601840138435364,0.3373129963874817,0.33731499314308167,1207904872,45.76437291447104,0.018330753519525154,0.003438839848179609,0.0018732600974656966,0.0015655797507139124,0.40559579132974866,30.0,195477912.83863172,629329.0,2240841200.856595,1,0,0,0,0,1,-0.04651704828103974,-0.03782067406750488,-0.030805515942610384,-0.08325331929760214,-0.7019195263742773,0.015241994823884886,-0.04841693297464322,-0.36351084612952567,0.013348486588391495,,0.05434313295332724,-0.0642719527612643,,,,,77.09241550229414
2022-07-26,0.3373050093650818,0.3378159999847412,0.3264259994029999,0.3378159999847412,1110467650,45.98255624951011,0.017834985452540593,0.0021248108964336265,0.0019235702572592828,0.00020124063917434376,0.407973407387997,26.0,220256803.19845834,655695.0,2529268854.929778,1,0,0,0,0,1,-0.03372373788019644,-0.03144397274341359,-0.026615229909283195,-0.07844493796786643,-0.6924362914627734,0.006924218308685504,-0.048059670210188865,-0.362785504300569,0.0043656703268242225,,0.0527949696087402,-0.079610756527144,,,,,76.11029216503564
2022-07-27,0.3378260135650635,0.35912999510765076,0.331167995929718,0.3591180145740509,1314040220,54.38501110869297,0.018558343575782888,0.0027703926718888883,0.002092934740185204,0.0006774579317036841,0.6959035729672945,28.0,227139828.29841012,644191.0,2043786368.01846,1,0,0,0,0,1,0.020695696021769305,0.02577362348515235,0.031164645257311566,-0.013906569886626969,-0.5861540565246546,0.010805705205011451,-0.044453026030769616,-0.3607767381006177,0.004089789782619091,,0.051677562312753646,0.0014333377047348606,,,,,71.42261978322816
2022-07-28,0.3591429889202118,0.37773799896240234,0.35152798891067505,0.3733760118484497,1839928651,58.98386323323737,0.01910489118120749,0.004382009028714551,0.0025507495978910736,0.0018312594308234772,0.8525276423246685,32.0,194101307.8186414,697022.0,3762271329.7370615,1,0,0,0,0,1,0.04356907082605093,0.05457929759701656,0.06196479005444124,0.023838187581450804,-0.5203543772085569,0.019610904828890163,-0.03905766645237596,-0.3579379735066578,0.007322667211599576,,0.05116796627246104,0.03847965309576429,,,,,67.41320302455696
2022-07-29,0.37338700890541077,0.37909600138664246,0.36081600189208984,0.36867499351501465,1706911237,56.94532868267667,0.019045970346446426,0.0052197239822074915,0.003084544474754357,0.0021351795074531343,0.7659971851174274,39.0,200984332.91859323,708268.0,3110903345.229869,1,0,0,0,0,1,0.02353013041634613,0.03685424313406315,0.045457993123760206,0.010944325974726863,-0.5343700420362189,0.022972129617609527,-0.03489557570462043,-0.3553995145051675,0.009091152395499291,,0.05166059722374623,0.02620664940378359,-0.012191064166282017,,,,63.79911103449469
2022-07-30,0.36866798996925354,0.40793898701667786,0.36485999822616577,0.38776400685310364,1767280595,62.59802459204895,0.020762614521022547,0.007339339622515817,0.003935503504306649,0.0034038361182091676,0.9438359872332254,42.0,177582047.57875702,601643.0,1279164246.4561443,1,0,0,0,0,1,0.05370015691127688,0.07303261054275716,0.08404417969467143,0.05729539655418651,-0.45426988704697235,0.03312826023997473,-0.02837451206105457,-0.3517677758149409,0.02147946857121541,,0.0535444604297377,0.1495605435143601,0.07567604256539195,,,,62.17631564307992
2022-07-31,0.3877750039100647,0.39787501096725464,0.38022300601005554,0.3804579973220825,1359568596,59.38444203485902,0.020540428123606586,0.008333552373872288,0.004815113278219777,0.003518439095652511,0.8301607286327447,39.0,209243963.0385354,561055.0,1438862646.8271215,1,0,0,0,0,1,0.026646131590104986,0.047867624118743096,0.06041354586990052,0.03765549616128671,-0.4773985415804104,0.03593859205969352,-0.023648547498150374,-0.3486222730331998,0.0307552287152546,,0.05398868802386555,0.1262284715326314,0.036568570891509555,,,,60.669434208194765
2022-08-01,0.3803519904613495,0.38539600372314453,0.3722749948501587,0.3799760043621063,1059391028,59.16863503482973,0.020010469605705107,0.008979075149508242,0.00564790565247747,0.0033311694970307717,0.8116204406231594,33.0,187218282.71868956,635502.0,2648018548.7209826,1,0,0,0,0,1,0.019058586839027357,0.04043854597633055,0.05383790616077323,0.035005964019627,-0.4745037144107831,0.03675830975284833,-0.01951508655907308,-0.34554655471587736,0.03331931278482525,,0.052662455986656725,0.05808115700571315,0.05959774462271894,,,,58.410895735509754
2022-08-02,0.37991100549697876,0.3914799988269806,0.3683359920978546,0.37202098965644836,1232425419,55.578702970756964,0.020234293685949454,0.008747912901483856,0.006267907102278748,0.0024800057992051087,0.6833348494580705,31.0,213373778.09850645,663588.0,2412379200.6057954,1,0,0,0,0,1,-0.001437840302575565,0.017264010023610964,0.03055081227853217,0.013807684439733554,-0.5009982255445744,0.032996729468918184,-0.01697754847064148,-0.34297569525609006,0.029738479798524953,,0.05439019369481086,-0.003629108858100194,0.034710897387757456,,,,56.6465249737472
2022-08-03,0.37203899025917053,0.37683001160621643,0.3645409941673279,0.3698520064353943,1105707649,54.60587964365007,0.01966677395401653,0.008294087260452054,0.006673143133913409,0.001620944126538645,0.6311055010123369,34.0,199607727.89860287,693063.0,2835680869.9736896,1,0,0,0,0,1,-0.0054830512198231025,0.009967352777441226,0.022605012613385538,0.007709522214534495,-0.504728128834927,0.028737679439416075,-0.015011219730833192,-0.3405516526405531,0.027210286765627423,,0.05317471207892966,0.0031925488332087415,0.02948286424496871,,,,54.60462124366897
2022-08-04,0.36986199021339417,0.37459099292755127,0.36539000272750854,0.3713510036468506,916895439,55.189638300206575,0.018919217971589828,0.007963584472974072,0.006931231401725543,0.0010323530712485294,0.6377429982968377,30.0,183173748.80206442,695558.0,2162588110.938917,1,0,0,0,0,1,-0.001068235197405736,0.012101893463514339,0.024136699841657085,0.011255594608864748,-0.49369240348016474,0.025828346075698505,-0.013027740195098003,-0.338053535595781,0.020308645223285238,,0.05094699566123088,-0.0423272993784356,0.10090275023539075,,,,52.70856778002491
2022-08-05,0.37127798795700073,0.3778989911079407,0.3680360019207001,0.37659499049186707,986100302,57.26030682038168,0.018272344486993455,0.008032214180131114,0.0071514279574066576,0.0008807862227244567,0.7112066322888264,31.0,210085555.03954557,687443.0,2233455342.127898,1,0,0,0,0,1,0.009653533812275279,0.022410367613230536,0.03429576483692077,0.024042284382677803,-0.46818772278787635,0.025517368700867404,-0.010506070386212762,-0.33526367202954166,0.01736129294686828,,0.04851988196425057,-0.010153569795892992,0.11479323214080295,,,,51.15845665804253
2022-08-06,0.37660500407218933,0.37706100940704346,0.37157100439071655,0.37157100439071655,498759511,54.65457238994571,0.0173593202390887,0.007593674869348865,0.0072398773397951,0.00035379752955376573,0.5998888910263006,31.0,225491829.07577893,610889.0,861842752.5742803,1,0,0,0,0,1,-0.002802654695528348,0.007966785796389599,0.0193077672865373,0.010421076877368611,-0.4831828790926421,0.022545729684111615,-0.008980274540535516,-0.33280046778316363,0.013567871178836954,,0.046718716029937914,-0.02211981776454508,0.03467659463264772,,,,49.7190677590589
2022-08-07,0.37159401178359985,0.3767240047454834,0.3693099915981293,0.3725059926509857,509151829,55.06440769082955,0.016648941161107662,0.007238138291984275,0.0072395295302329354,-1.391238248660276e-06,0.6114817331454527,30.0,222690688.3419183,522072.0,1123561072.3019845,1,0,0,0,0,1,-0.00021421862065521514,0.00906254649754245,0.01979027281916375,0.01239884013480041,-0.47468934992313716,0.020408378824553708,-0.007484228436277052,-0.33029884570830137,0.012417811067564344,,0.04469442502823479,0.0013036979310905306,-0.0023301421887197415,,-0.09512060225804364,0.12370268977433564,48.08816952602593
2022-08-08,0.3725149929523468,0.3841420114040375,0.3720560073852539,0.37875398993492126,1030742941,57.808627367141156,0.016323017079513086,0.007375513824767754,0.007266726389139899,0.00010878743562785492,0.7250948778957078,30.0,201682132.83796376,652517.0,2294099110.488635,1,0,0,0,0,1,0.012214127892878146,0.02202133934656367,0.03269090675600939,0.02756537775604543,-0.4458813762898281,0.021168806337237944,-0.0052708211767866775,-0.3274450876881415,0.013501510934378791,-0.06787629047426924,0.04309662079683374,0.02406904206177929,0.027338432487138853,0.014814083736200745,-0.07705528616813054,0.13815825554976346,47.096077861609125
2022-08-09,0.37877699732780457,0.3796660006046295,0.36293599009513855,0.36810100078582764,4098651206,51.97983438858297,0.01635208803879722,0.006549281688134567,0.007123237448938833,-0.0005739557608042661,0.5119978644530391,42.0,200281562.47103348,646055.0,2572928084.4797115,1,0,0,0,0,1,-0.012279590648811858,-0.005444184619286562,0.004269634039779877,-0.0005546285029214974,-0.4828727649197008,0.016620186803917303,-0.004821588352371786,-0.32525928577756125,0.011428442416505646,-0.06733078767658562,0.04442282961439532,-0.00875183540398794,-0.05070869322516802,0.021129916113280744,-0.10822569388782828,0.11321621319653935,45.05394633617255
2022-08-10,0.3680799901485443,0.3810650110244751,0.36007198691368103,0.3810650110244751,1732723595,57.58465299548046,0.01668358347251128,0.006861479187722785,0.007070885796695624,-0.00020940660897283882,0.7439503909136538,31.0,207284414.30568495,663480.0,3582463514.5152545,1,0,0,0,0,1,0.01661897652754564,0.02492663132565889,0.03467713425448231,0.0321715829738692,-0.42812200487907787,0.018706857951603872,-0.002588838307013064,-0.3223069081495744,0.011469969096776778,-0.06666966057885082,0.04378146245350173,0.011869569817616998,0.0015954815161336455,0.03822239688657181,-0.07052333647729388,0.143385013162402,42.83566414988162
2022-08-11,0.3810980021953583,0.3851099908351898,0.3783949911594391,0.38056299090385437,1088394568,57.305718445149616,0.015971541772742667,0.00698783768418576,0.0070542761741936525,-6.643849000789216e-05,0.7124516271214858,41.0,196079851.3702425,725127.0,2882199944.2436247,1,0,0,0,0,1,0.01149131121345112,0.02048831385067185,0.03036702495610196,0.029683307402699633,-0.4257272479067912,0.019466864502825088,-0.0007046334033192769,-0.3194233370920775,0.012650021022858837,-0.06588393304688045,0.041968194896748974,0.024199914435956593,0.0015447989741705914,0.06123461013164566,-0.07193551860574843,0.14225500848697,41.111835089465536
2022-08-12,0.3805379867553711,0.3805379867553711,0.3714829981327057,0.3799949884414673,923071430,56.969476750203114,0.015479288272628813,0.006961892290578142,0.007035799397470551,-7.390710689240878e-05,0.6825197570086067,42.0,215687836.5072668,703328.0,2439184815.0623903,1,0,0,0,0,1,0.007510293723907201,0.01648761919081543,0.02628877584275559,0.0271257407846521,-0.4236010750588559,0.019285473611646342,0.0008603012506174235,-0.3166103368001978,0.013341370493029192,-0.06512487843572157,0.04073550637106145,0.020104363253823587,0.021434271201693944,0.056889171377714876,-0.07353780819537029,0.1409728829797947,38.735755991160694
2022-08-13,0.37997400760650635,0.38603800535202026,0.37745198607444763,0.37796398997306824,590320028,55.710735237052596,0.014986911915839085,0.006700209927274436,0.006968681503431328,-0.00026847157615689145,0.6281984895855938,46.0,194679281.00331223,613804.0,1386200465.2578113,1,0,0,0,0,1,0.0016328450531775992,0.009708999799102613,0.019142286796052295,0.0210392336383903,-0.4269597761876878,0.017851153645599194,0.0019377148783890075,-0.31395349560796093,0.011891504232056649,-0.0643981824188049,0.03965169252474813,-0.0020857865074603854,0.021933052671138986,0.05206256613048854,-0.07930648908046897,0.13635688038360663,37.00774780556185
2022-08-14,0.3779990077018738,0.3909299969673157,0.37588798999786377,0.3764509856700897,754512693,54.74040935385087,0.014990847276811431,0.0062981369640237594,0.006834572595549815,-0.0005364356315260554,0.5780016602267051,47.0,186275858.8017304,551189.0,982849307.8036118,1,0,0,0,0,1,-0.001784789466171262,0.00496504194239059,0.013818268294442321,0.016433894819292902,-0.42838948670800214,0.015821686063509643,0.0026593296689194634,-0.31141602879791275,0.01287684274667189,-0.06334335777908617,0.03982151155781262,0.02268395050933414,0.013733588904176308,0.11602209603060065,-0.08364435888124694,0.1328857890438099,35.800416262056274
2022-08-15,0.3764509856700897,0.38478100299835205,0.36796098947525024,0.37577399611473083,1046905199,54.28480954492099,0.015121502008689315,0.005857344028695866,0.0066391268821790255,-0.00078178285348316,0.5270081781889094,45.0,203082703.20489404,620533.0,2486543315.2726755,1,0,0,0,0,1,-0.0026921939577894873,0.0027494132237194436,0.010946887348445967,0.01408693783255779,-0.4266746670637993,0.013790039313126945,0.003184916200632104,-0.30894331768256367,0.01035656945630925,-0.062310337335678145,0.040240948455817147,-0.01388480903959044,-0.002180045932273167,0.11236293168974876,-0.08559663849684385,0.11870432932084468,33.80439994180414
2022-08-16,0.3756659924983978,0.37762901186943054,0.3680419921875,0.3772369921207428,930440616,55.153470278564825,0.01472618184249226,0.0055619493131356945,0.00642369136837036,-0.0008617420552346653,0.561398992566346,44.0,207284414.30568495,677726.0,2698602541.9688473,1,0,0,0,0,1,0.0008973262172145989,0.005734680086797942,0.013438746672712266,0.017208121799395962,-0.41695128915890417,0.012712257260459436,0.0038353747220469803,-0.3064039069515334,0.008566177908201356,-0.061602944359243406,0.03903695064395707,-0.008739680059829724,0.015248734866481373,0.05045410369675496,-0.08138649055421433,0.06815080108007815,31.950956215855733
2022-08-17,0.3772270083427429,0.39089301228523254,0.369841992855072,0.379707008600235,1408497181,56.65111560580351,0.015177955955897136,0.005464169020811538,0.006231786898858596,-0.0007676178780470578,0.6676599526878239,41.0,180673577.33400917,648642.0,2992025085.7634916,1,0,0,0,0,1,0.005547411014966578,0.010575443335074632,0.018051259814467504,0.022675702055728903,-0.4036768833714268,0.012733708275992406,0.004731737715913287,-0.3037398353409647,0.007695653842495931,-0.06108879980710635,0.039972809592979795,-0.0007578516822378534,0.019331275446073493,0.016956088636875144,-0.07435200767169985,0.051710980418657994,31.31728959485404
